file,max_nloc,max_ccn,max_func_len,funcs_over_ccn10
cmd/giztui/main.go,502,70,387,1
desktop/app.go,196,4,24,0
desktop/app_analyzer.go,169,2,11,0
desktop/app_features.go,190,5,12,0
desktop/app_mail.go,439,8,34,0
desktop/frontend/playwright.config.ts,23,0,0,0
desktop/frontend/src/AccountSwitcher.tsx,96,5,16,0
desktop/frontend/src/ActionPlanModal.tsx,304,5,34,0
desktop/frontend/src/AdvancedSearchModal.tsx,99,2,8,0
desktop/frontend/src/AiJobsPicker.tsx,104,3,12,0
desktop/frontend/src/AiPanel.tsx,63,10,49,0
desktop/frontend/src/AnalyzerRulesModal.tsx,85,2,17,0
desktop/frontend/src/App.tsx,445,5,55,0
desktop/frontend/src/AppInbox.tsx,388,7,236,0
desktop/frontend/src/AppModals.tsx,12,1,8,0
desktop/frontend/src/AttachmentsPicker.tsx,73,4,13,0
desktop/frontend/src/ChatPanel.tsx,102,5,15,0
desktop/frontend/src/CommandBar.tsx,83,7,24,0
desktop/frontend/src/Compose.tsx,158,8,59,0
desktop/frontend/src/ConfigModal.tsx,110,11,48,1
desktop/frontend/src/ConfirmDialog.tsx,43,3,15,0
desktop/frontend/src/EditQueryModal.tsx,63,5,12,0
desktop/frontend/src/Help.tsx,268,5,49,0
desktop/frontend/src/HighlightedText.tsx,40,8,42,0
desktop/frontend/src/HtmlBody.tsx,193,26,232,1
desktop/frontend/src/Icons.tsx,308,1,15,0
desktop/frontend/src/LabelsPicker.tsx,146,8,30,0
desktop/frontend/src/LinksPicker.tsx,83,3,15,0
desktop/frontend/src/Markdown.tsx,98,8,98,0
desktop/frontend/src/MessageList.tsx,254,4,35,0
desktop/frontend/src/ModalsPrimary.tsx,244,2,10,0
desktop/frontend/src/ModalsSecondary.tsx,394,3,18,0
desktop/frontend/src/MoreMenu.tsx,53,4,44,0
desktop/frontend/src/MovePicker.tsx,107,4,13,0
desktop/frontend/src/ObsidianDialog.tsx,48,1,5,0
desktop/frontend/src/PlainBody.tsx,42,1,39,0
desktop/frontend/src/PlanMovePicker.tsx,66,4,14,0
desktop/frontend/src/PromptEditModal.tsx,118,5,11,0
desktop/frontend/src/PromptPreviewModal.tsx,47,11,22,1
desktop/frontend/src/PromptsPicker.tsx,174,4,38,0
desktop/frontend/src/RSVPPicker.tsx,76,3,15,0
desktop/frontend/src/Reader.tsx,238,2,11,0
desktop/frontend/src/ReaderBody.tsx,332,14,111,1
desktop/frontend/src/ReaderToolbar.tsx,225,1,58,0
desktop/frontend/src/RulesManager.tsx,413,14,49,1
desktop/frontend/src/SaveQueryModal.tsx,63,3,11,0
desktop/frontend/src/SavedQueriesPicker.tsx,119,3,26,0
desktop/frontend/src/SlackPicker.tsx,181,9,33,0
desktop/frontend/src/StartupScreens.tsx,117,2,9,0
desktop/frontend/src/StatsModal.tsx,54,3,28,0
desktop/frontend/src/SuggestPicker.tsx,66,4,13,0
desktop/frontend/src/TelemetryModal.tsx,130,5,31,0
desktop/frontend/src/ThemePicker.tsx,50,4,16,0
desktop/frontend/src/TopBar.tsx,194,2,41,0
desktop/frontend/src/advancedSearch.ts,30,8,12,0
desktop/frontend/src/aiPanels.ts,10,6,9,0
desktop/frontend/src/api.ts,96,3,5,0
desktop/frontend/src/apiEvents.ts,27,2,6,0
desktop/frontend/src/apiMock.ts,4,0,0,0
desktop/frontend/src/apiMockA.ts,299,5,26,0
desktop/frontend/src/apiMockB.ts,342,5,25,0
desktop/frontend/src/apiMockData.ts,63,3,26,0
desktop/frontend/src/apiTypes.ts,439,0,0,0
desktop/frontend/src/commandCtx.ts,110,0,0,0
desktop/frontend/src/commandRunner.ts,500,272,529,1
desktop/frontend/src/commands.ts,111,3,113,0
desktop/frontend/src/composeBuilders.ts,26,2,16,0
desktop/frontend/src/entityGroups.ts,47,4,10,0
desktop/frontend/src/format.ts,177,4,11,0
desktop/frontend/src/keydownCtx.ts,156,0,0,0
desktop/frontend/src/keydownHandler.ts,261,130,300,1
desktop/frontend/src/keydownMain.ts,406,200,489,1
desktop/frontend/src/main.tsx,9,0,0,0
desktop/frontend/src/messageListModel.ts,17,1,1,0
desktop/frontend/src/planMove.ts,95,7,45,0
desktop/frontend/src/planNodes.ts,17,3,13,0
desktop/frontend/src/savedQueriesModel.ts,23,1,10,0
desktop/frontend/src/useActionPlan.ts,321,10,60,0
desktop/frontend/src/useAiActions.ts,331,13,99,1
desktop/frontend/src/useAiJobs.ts,162,4,35,0
desktop/frontend/src/useAppWiring.ts,19,1,17,0
desktop/frontend/src/useAttachments.ts,52,3,17,0
desktop/frontend/src/useAutoRefresh.ts,38,3,12,0
desktop/frontend/src/useBootstrap.ts,194,21,112,1
desktop/frontend/src/useChat.ts,75,8,28,0
desktop/frontend/src/useConfirm.tsx,28,4,27,0
desktop/frontend/src/useDrafts.ts,68,2,16,0
desktop/frontend/src/useFilterMode.ts,48,7,16,0
desktop/frontend/src/useIntegrations.ts,71,2,8,0
desktop/frontend/src/useKeymap.ts,155,11,72,1
desktop/frontend/src/useListNav.ts,63,9,14,0
desktop/frontend/src/useMailActions.ts,325,10,71,0
desktop/frontend/src/useMessages.ts,157,9,21,0
desktop/frontend/src/useMiscActions.ts,254,4,30,0
desktop/frontend/src/usePickerCrud.ts,42,8,26,0
desktop/frontend/src/useReader.ts,144,26,105,1
desktop/frontend/src/useRsvp.ts,64,2,12,0
desktop/frontend/src/useTheme.ts,73,15,77,1
desktop/frontend/src/useThreading.ts,54,4,17,0
desktop/frontend/src/useUndo.ts,41,4,18,0
desktop/frontend/src/useZoom.ts,26,3,18,0
desktop/frontend/vite.config.ts,18,1,10,0
desktop/frontend/vitest.config.ts,7,0,0,0
desktop/images.go,79,11,53,1
desktop/main.go,39,2,30,0
internal/calendar/client.go,73,16,47,1
internal/config/colors.go,650,25,225,3
internal/config/config.go,1014,29,192,3
internal/config/llm_provider.go,31,11,35,1
internal/config/migrate.go,144,9,31,0
internal/config/theme.go,144,7,39,0
internal/config/validate.go,107,25,81,1
internal/db/analyzer_rules_store.go,79,6,27,0
internal/db/cache_store.go,50,6,14,0
internal/db/deterministic_rules_store.go,142,7,27,0
internal/db/obsidian_store.go,264,12,75,2
internal/db/prompt_store.go,317,9,40,0
internal/db/query_store.go,289,7,53,0
internal/db/store.go,447,66,438,2
internal/db/telemetry_store.go,164,9,34,0
internal/gmail/client.go,743,16,52,4
internal/gmail/filters.go,40,4,15,0
internal/llm/authstore/authstore.go,98,5,17,0
internal/llm/bedrock.go,136,12,67,1
internal/llm/chatgpt.go,421,11,97,2
internal/llm/factory.go,26,7,31,0
internal/llm/gemini.go,211,7,26,0
internal/llm/ollama.go,170,12,46,1
internal/llm/openai.go,163,8,41,0
internal/obsidian/types.go,95,1,38,0
internal/prompts/types.go,29,0,0,0
internal/render/email.go,817,43,119,4
internal/render/format.go,811,50,280,7
internal/render/markdown_render.go,219,7,35,0
internal/services/account_service.go,381,17,93,1
internal/services/ai_service.go,246,15,62,2
internal/services/analyzer_rules_service.go,106,5,18,0
internal/services/attachment_service.go,258,29,71,3
internal/services/auto_refresh_service.go,89,6,21,0
internal/services/bulk_prompt_service.go,307,16,97,4
internal/services/cache_service.go,63,6,17,0
internal/services/chat_service.go,98,8,41,0
internal/services/composition_service.go,635,23,98,7
internal/services/content_navigation_service.go,189,13,45,1
internal/services/database_manager.go,137,20,80,1
internal/services/deterministic_rules_import.go,212,28,103,4
internal/services/deterministic_rules_service.go,411,15,49,2
internal/services/display_service.go,47,1,7,0
internal/services/email_service.go,531,27,127,6
internal/services/errors.go,25,0,0,0
internal/services/gmail_web_service.go,48,12,24,1
internal/services/inbox_analyzer_service.go,461,13,108,2
internal/services/interfaces.go,841,0,0,0
internal/services/label_service.go,186,8,40,0
internal/services/link_service.go,167,10,35,0
internal/services/obsidian_service.go,609,15,107,3
internal/services/preloader.go,549,12,79,3
internal/services/prompt_generator_service.go,152,6,30,0
internal/services/prompt_service.go,388,13,67,1
internal/services/query_service.go,311,7,33,0
internal/services/repository.go,91,10,34,0
internal/services/slack_service.go,513,16,56,2
internal/services/speech_service.go,99,8,36,0
internal/services/telemetry_service.go,164,8,42,0
internal/services/theme_service.go,221,13,48,1
internal/services/thread_service.go,518,14,77,4
internal/services/undo_service.go,372,18,83,2
internal/tts/engine.go,13,3,11,0
internal/tts/errors.go,6,0,0,0
internal/tts/external_piper.go,42,6,24,0
internal/tts/language.go,41,5,19,0
internal/tts/macos_say.go,29,5,20,0
internal/tts/player.go,24,4,13,0
internal/tts/synthesizer.go,5,0,0,0
internal/tts/types.go,10,0,0,0
internal/tui/accounts.go,309,24,241,2
internal/tui/action_plan.go,859,11,63,1
internal/tui/action_plan_apply.go,129,7,34,0
internal/tui/action_plan_move.go,240,7,58,0
internal/tui/action_plan_prefilter.go,23,4,13,0
internal/tui/action_plan_prompt.go,62,7,60,0
internal/tui/action_plan_prompt_action.go,73,5,73,0
internal/tui/action_plan_rules.go,192,6,146,0
internal/tui/action_plan_summarize.go,104,4,77,0
internal/tui/ai.go,590,36,169,6
internal/tui/ai_jobs.go,243,8,73,0
internal/tui/ai_panel_state.go,37,2,10,0
internal/tui/app.go,2462,110,443,18
internal/tui/attachments.go,413,16,349,2
internal/tui/auto_refresh.go,243,9,53,0
internal/tui/bulk_progress.go,10,1,5,0
internal/tui/bulk_prompts.go,412,11,295,2
internal/tui/bulk_state.go,62,2,10,0
internal/tui/caches.go,133,4,11,0
internal/tui/chat.go,236,8,105,0
internal/tui/columns.go,909,24,202,4
internal/tui/command_completion.go,503,11,41,1
internal/tui/command_help.go,40,5,31,0
internal/tui/command_state.go,69,5,12,0
internal/tui/commands.go,1858,19,136,6
internal/tui/composition.go,811,26,116,1
internal/tui/draft_state.go,16,1,5,0
internal/tui/editable_text_view.go,519,19,81,3
internal/tui/enhanced_text_view.go,416,17,64,1
internal/tui/error_handler.go,247,10,30,0
internal/tui/focus_state.go,32,1,5,0
internal/tui/gmail_web.go,28,7,33,0
internal/tui/keys.go,1951,228,908,6
internal/tui/labels.go,1677,31,619,9
internal/tui/layout.go,340,37,157,1
internal/tui/layout_state.go,19,1,6,0
internal/tui/links.go,346,17,360,3
internal/tui/list_helpers.go,146,32,122,2
internal/tui/llm_command.go,104,10,37,0
internal/tui/logging.go,7,2,6,0
internal/tui/markdown.go,253,14,87,2
internal/tui/messages.go,3337,63,836,25
internal/tui/messages_actions.go,116,12,50,1
internal/tui/messages_bulk.go,190,10,93,0
internal/tui/obsidian.go,728,32,298,2
internal/tui/overlay_backup.go,12,1,5,0
internal/tui/prompt_configurator.go,639,12,167,2
internal/tui/prompt_picker_selection.go,11,3,10,0
internal/tui/prompt_preview.go,60,4,45,0
internal/tui/prompts.go,879,27,285,2
internal/tui/rules_manager.go,505,20,512,2
internal/tui/rules_plan.go,102,11,68,1
internal/tui/saved_queries.go,641,15,332,2
internal/tui/search_state.go,99,5,19,0
internal/tui/slack.go,535,9,220,0
internal/tui/speech.go,38,5,26,0
internal/tui/stats.go,1,0,0,0
internal/tui/status.go,86,13,34,1
internal/tui/telemetry.go,107,8,30,0
internal/tui/theme_helpers.go,201,18,68,3
internal/tui/themes.go,388,14,239,1
internal/tui/threads.go,917,40,149,6
internal/tui/ui_lifecycle.go,6,0,0,0
internal/tui/vim_navigator.go,96,3,14,0
internal/tui/welcome.go,113,6,66,0
internal/version/version.go,166,9,42,0
pkg/auth/oauth.go,265,10,86,0
pkg/desktop/actionplan.go,348,19,118,3
pkg/desktop/ai.go,124,5,26,0
pkg/desktop/api.go,315,7,40,0
pkg/desktop/attachments.go,63,5,23,0
pkg/desktop/bulk.go,47,3,9,0
pkg/desktop/compose.go,33,4,12,0
pkg/desktop/det_rules.go,119,4,22,0
pkg/desktop/drafts.go,87,7,25,0
pkg/desktop/dto.go,190,0,0,0
pkg/desktop/invite.go,210,22,64,3
pkg/desktop/keymap.go,140,5,63,0
pkg/desktop/labels.go,67,9,26,0
pkg/desktop/links.go,16,4,14,0
pkg/desktop/llm_auth.go,17,1,3,0
pkg/desktop/logging.go,31,4,17,0
pkg/desktop/obsidian.go,29,6,21,0
pkg/desktop/prompts.go,165,12,38,1
pkg/desktop/save.go,71,8,24,0
pkg/desktop/saved_queries.go,57,5,20,0
pkg/desktop/session.go,409,24,166,1
pkg/desktop/slack.go,71,13,53,1
pkg/desktop/stats.go,36,6,21,0
pkg/desktop/telemetry.go,64,7,35,0
pkg/desktop/theme.go,50,5,17,0
pkg/desktop/thread.go,45,7,24,0
pkg/desktop/undo.go,33,4,11,0
pkg/desktop/version.go,3,1,1,0
pkg/desktop/web.go,7,2,6,0
